,Awards,imdbRating,imdbVotes,imdb_id,totalSeasons,title,type,genre,runtime,rating,webChannel,network,award_exposure,Action,Adult,Adventure,Anime,Children,Comedy,Crime,Drama,Family,Fantasy,Food,History,Horror,Legal,Medical,Music,Mystery,Nature,Romance,Science-Fiction,Sports,Supernatural,Thriller,Travel,War,Western
193,Won 4 Golden Globes. Another 48 wins & 75 nominations.,8.5,"133,887",tt3920596,2,Big Little Lies,Scripted,"['Drama', 'Comedy', 'Mystery']",60.0,7.7,False,HBO,127,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
194,1 nomination.,8.6,"30,551",tt2100976,8,Impractical Jokers,Reality,['Comedy'],30.0,7.7,False,truTV,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Won 1 Golden Globe. Another 6 wins & 16 nominations.,8.5,"13,895",tt0047708,7,Alfred Hitchcock Presents,Scripted,"['Drama', 'Crime', 'Mystery']",30.0,7.3,False,CBS,23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
196,Nominated for 2 Golden Globes. Another 15 wins & 88 nominations.,8.5,"115,889",tt2575988,6,Silicon Valley,Scripted,['Comedy'],30.0,8.5,False,HBO,105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Won 2 Golden Globes. Another 18 wins & 77 nominations.,8.5,"307,790",tt4158110,4,Mr. Robot,Scripted,"['Drama', 'Crime', 'Thriller']",60.0,8.4,False,USA Network,97,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
198,4 nominations.,8.6,"16,202",tt2701582,8,Endeavour,Scripted,"['Drama', 'Crime', 'Mystery']",120.0,8.8,False,ITV,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
199,11 wins & 22 nominations.,8.6,"10,117",tt4647692,8,Letterkenny,Scripted,['Comedy'],30.0,7.9,CraveTV,False,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Won 1 Primetime Emmy. Another 1 win & 6 nominations.,8.5,"38,712",tt0163507,7,Whose Line Is It Anyway?,Variety,"['Comedy', 'Family']",30.0,7.9,False,The CW,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2 wins & 2 nominations.,8.6,"9,133",tt4082744,3,Detectorists,Scripted,['Comedy'],30.0,8.7,False,BBC Four,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Won 4 Primetime Emmys. Another 21 wins & 82 nominations.,8.5,"11,026",tt0106028,7,Homicide: Life on the Street,Scripted,"['Drama', 'Crime']",60.0,9.0,False,NBC,107,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Nominated for 2 Primetime Emmys. Another 1 win & 5 nominations.,8.5,"13,902",tt5425186,1,Horace and Pete,Scripted,"['Drama', 'Comedy']",70.0,8.0,LouisCK.net,False,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Nominated for 1 Primetime Emmy. Another 1 win & 3 nominations.,8.5,"120,270",tt1758429,1,Spartacus: Gods of the Arena,Scripted,"['Action', 'Adventure']",60.0,8.8,False,Starz,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Nominated for 1 Primetime Emmy. Another 23 wins & 47 nominations.,8.5,"211,811",tt2243973,3,Hannibal,Scripted,"['Drama', 'Crime', 'Horror']",60.0,8.4,False,NBC,71,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Nominated for 1 Primetime Emmy. Another 1 win & 11 nominations.,8.5,"165,510",tt5675620,2,Marvel's The Punisher,Scripted,"['Drama', 'Action', 'Crime']",60.0,8.4,Netflix,False,13,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Won 2 Golden Globes. Another 22 wins & 15 nominations.,8.5,"92,050",tt0290978,3,The Office,Scripted,['Comedy'],30.0,7.8,False,BBC Two,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Won 4 Golden Globes. Another 47 wins & 35 nominations.,8.5,"26,472",tt0472027,1,John Adams,Scripted,"['Drama', 'History']",70.0,8.4,False,HBO,86,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,3 wins & 3 nominations.,8.5,"51,524",tt0262150,3,Black Books,Scripted,['Comedy'],25.0,8.6,False,Channel 4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,5 wins & 6 nominations.,8.5,"16,415",tt0129690,N/A,I'm Alan Partridge,Scripted,['Comedy'],30.0,8.2,False,BBC Two,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,N/A,8.6,"15,660",tt9544034,1,The Family Man,Scripted,"['Drama', 'Action', 'Thriller']",45.0,7.3,Amazon Prime,False,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
212,Won 1 Golden Globe. Another 10 wins & 55 nominations.,8.6,"240,700",tt1124373,7,Sons of Anarchy,Scripted,"['Drama', 'Action', 'Crime']",60.0,8.7,False,FX,66,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,1 win & 1 nomination.,9.9,"4,999",tt9471404,1,The Chosen,Scripted,"['Drama', 'History']",50.0,,VidAngel,False,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Won 7 Primetime Emmys. Another 5 wins & 18 nominations.,8.6,"13,027",tt7259746,4,Queer Eye,Reality,['Comedy'],45.0,8.0,Netflix,False,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
